word|phonemes
בַּעַל|ˈbaˈal
אֲחֵרִים|axerim
דֶּרֶךְ|ˈderex
דָּרַךְ|darax
וְלֹא|velo
וָלֹא|valo
חֵלֶק|ˈxelek
חָלָק|xalak
אוֹתָהּ|ota
בֶּן|ben
בְּנִי|bni
בָּנַי|banai
אוּלָם|ulam
אַחֵר|axer
אַחַר|axar
כַּמָּה|kama
כָּמֵהַּ|kamea
הַמֵּאָה|ameˈa
הֵחֵל|hexel
הַחֵל|axel
נֶגֶד|ˈneged
אַנְשֵׁי|anʃei
אוֹתָם|otam
כְּלָל|klal
כָּלַל|kalal
מְנַת|menat
כַּיּוֹם|kajom
שׁוֹנִים|ʃonim
הַמִּלְחָמָה|amilxama
שָׁנִים|ʃanim
שְׁנַיִם|ˈʃnajim
כְּבָר|kvar
רַב|rav
רֹב|rov
בְּשֶׁל|beʃel
בָּשֵׁל|baʃel
בִּשֵּׁל|biʃel
בָּהֶם|bahem
גָּדוֹל|gadol
לָהֶם|lahem
בְּעִקָּר|beˈikar
אֶלָּא|ela
הַיּוֹם|ajom
בִּמְקוֹם|bimkom
בַּמָּקוֹם|bamakom
בְּמָקוֹם|bemakom
שֶׁהָיָה|ʃeaja
וְכֵן|vexen
הָרַב|arav
הָרֹב|arov
שֶׁבּוֹ|ʃebo
זְמַן|zman
יָכוֹל|jaxol
לִהְיוֹת|lihijot
לָה|la
יְהוּדִים|jehudim
הַיְּהוּדִים|ajehudim
נוֹסָפִים|nosafim
הַיָּם|ajam
לְלֹא|lelo
מָקוֹם|makom
חַיִּים|xaim
הַמְּדִינָה|amedina
הָאִרְגּוּן|aˈirgun
אַחֲרֵי|axarei
רַבּוֹת|rabot
רָבוֹת|ravot
שֶׁהוּא|ʃehu
שָׁנָה|ʃana
בַּעֲלִי|baˈali
מִתּוֹךְ|mitox
תּוֹךְ|tox
רֹאשׁ|roʃ
מִלְחֶמֶת|milˈxemet
אָדָם|adam
מוּל|mul
אִישׁ|iʃ
בַּדֶּרֶךְ|baˈderex
בְּדֶרֶךְ|beˈderex
נוֹסֶפֶת|noˈsefet
שִׁמּוּשׁ|ʃimuʃ
כְּגוֹן|kegon
יוֹם|jom
בְּאֶמְצָעוּת|beˈemtsaˈut
מִכֵּן|miken
בְּמֶשֶׁךְ|beˈmeʃex
וְאַף|veˈaf
לְךָ|lexa
לָךְ|lax
לֵךְ|lex
הָאָדָם|aˈadam
אַתָּה|ata
בְּשֵׁם|beʃem
וְעַל|veˈal
הַמֶּמְשָׁלָה|amemʃala
לְכָל|lexol
לַכֹּל|lakol
תַּחַת|ˈtaxat
לְעִתִּים|leˈitim
הַזֶּה|aze
הָזָה|aza
מֵהֶם|mehem
מָהֵם|ˈmahem
לַמְרוֹת|lamrot
אָמְרָה|amra
אִמְרָה|imra
עַצְמוֹ|atsmo
שְׁנוֹת|ʃnot
כִּמְעַט|kimˈat
אֵינוֹ|eino
בְּנוֹסָף|benosaf
בִּידֵי|bidei
בְּיָדִי|bejadi
בְּיָדַי|bejadai
בְּעִקְבוֹת|beˈikvot
בְּעִיר|beˈir
בָּעִיר|baˈir
לְפִי|lefi
בְּקֶרֶב|beˈkerev
בֵּקְרַב|bekrav
בַּקְרַב|bakrav
כְּפִי|kefi
כַּפִּי|kapi
הַמִּשְׂחָק|amisˈxak
הַמְּשַׂחֵק|amesaxek
מִי|mi
רֹב|rov
עֲבוּר|avur
וְאֶת|veˈet
וְאַתְּ|veˈat
בְּעֵת|beˈet
בַּעַת|ˈbaˈat
אֲרָצוֹת|aratsot
לְמָשָׁל|lemaʃal
הַצָּבָא|atsava
הַהֲגָנָה|aagana
כְּלִי|kli
נוֹסָף|nosaf
בְּאֵזוֹר|beˈezor
בָּאֵזוֹר|baˈezor
טוֹב|tov
בָּעוֹלָם|baˈolam
כּוֹחוֹת|koxot
בְּתוֹךְ|betox
הָאָרֶץ|aˈarets
פְּנֵי|pnei
פָּנַי|panai
בְּאֶרֶץ|beˈerets
בָּאָרֶץ|baˈarets
וְהוּא|vehu
הַדָּבָר|adavar
הַדֶּבֶר|aˈdever
בִּלְבַד|bilvad
כּוֹחַ|ˈkoˈax
בַּבַּיִת|baˈbajit
בְּבַּיִת|beˈbajit
בְּבֵית|beveit
מֵאָז|meˈaz
הַחַיִּים|axaim
יָמִים|jamim
לְאֹרֶךְ|leˈorex
לָאֹרֶךְ|laˈorex
מַיִם|ˈmajim
הַרְבֵּה|arbe
הִרְבָּה|hirba
בִּלְתִּי|bilti
עָלָיו|alav
אָבִיב|aviv
מֵעַל|meˈal
מַעַל|maˈal
הַגָּדוֹל|agadol
אִי|i
הַסֵּפֶר|aˈsefer
הַסְּפָר|asfar
הַסַּפָּר|asapar
פַּעַם|ˈpaˈam
פַּעַם|paˈam
רָאוּ|raˈu
בְּכָךְ|bexax
נִרְאֶה|nirˈe
נִרְאָה|nirˈa
לְבֵין|levein
וְעַד|veˈad
וַעַד|ˈvaˈad
וְעֵד|veˈed
כְּנֶגֶד|keˈneged
רַבָּה|ˈraba
שָׁבָה|ˈʃava
שֶׁבָּהּ|ʃeba
מִדַּי|midai
מִדֵּי|midei
מַדֵּי|madei
בַּסּוֹף|basof
בְּסוֹף|besof
הַמִּפְלָגָה|amiflaga
בִּמְיֻחָד|bimjuxad
שׁוֹנוֹת|ʃonut
שׁוֹנוֹת|ʃonot
הַמַּיִם|aˈmajim
וְגַם|vegam
כְּכָל|kexol
שֶׁהָיוּ|ʃeaju
בַּתְּקוּפָה|bitkufa
בַּתְּקוּפָה|batkufa
אֵצֶל|etsel
עֲדַיִן|aˈdajin
הַשָּׁנִים|aʃanim
לְכָךְ|lexax
יְהוּדִי|jehudi
עֵרֶךְ|ˈerex
עֵרֶךְ|arax
עַכְשָׁו|axʃav
הֵחֵלּוּ|heˈxelu
בִּזְמַן|bizman
בִּזְמַן|bazman
הַכּוֹחוֹת|akoxot
עֵץ|ets
חֵיל|xajal
חֵיל|ˈxajil
חֵיל|xil
אֶפְשָׁר|efʃar
אֶפְשָׁר|ifʃer
בְּעוֹד|beˈod
בָּתֵּי|batei
בָּתֵּי|biti
שֶׁלָּהּ|ʃela
הָאִי|aˈi
בְּאוֹתָהּ|beˈota
גְּדוֹלָה|gdola
הִגִּיעַ|heˈgiˈa
יַחַד|ˈjaxad
לְמַעֲשֶׂה|lemaˈase
צְבָא|tsava
מְעַט|meˈat
וְעוֹד|veˈod
שֶׁלָּהֶם|ʃelahem
עֲלֵי|alai
עֲלֵי|ali
בֵּינֵיהֶם|beinehem
וְהֵן|vehen
יָם|jam
וּבֵין|uvein
הַכֹּל|akol
הֲרֵי|arei
אֵינָם|einam
בִּתְחִלַּת|bitxilat
הָאֲדָמָה|aˈadama
הַמִּשְׁפָּט|amiʃpat
בַּצּוּרָה|betsura
בַּצּוּרָה|batsura
סוֹף|sof
זָכָה|zaxa
זָכָה|zaka
מִחוּץ|mixuts
מִחוּץ|maxuts
בִּתְקוּפַת|bitkufat
פֹּה|po
פֹּה|pe
דּוֹמֶה|dome
בְּמִסְגֶּרֶת|bemisˈgeret
בְּמִסְגֶּרֶת|bamisˈgeret
הָאִימְפֶּרְיָה|aˈimˈperia
אֲנָשִׁים|anaʃim
מַעֲרֶכֶת|maˈaˈrexet
אוּלַי|ulai
הַשֶּׁמֶשׁ|aˈʃemeʃ
הַשֶּׁמֶשׁ|aʃamaʃ
סֵפֶר|ˈsefer
סֵפֶר|sfar
סֵפֶר|sapar
סֵפֶר|safar
סֵפֶר|siper
עִנְיָנִים|injanim
שֶׁהִיא|ʃehi
אִינָה|eina
שְׁנַת|ʃnat
שֶׁלִּי|ʃeli
לִרְאוֹת|lirˈot
וְלָכֵן|velaxen
בַּשָּׁנִים|baʃanim
בַּשָּׁנִים|beʃanim
כָּתַב|ktav
כָּתַב|katav
הַקְּרָב|akrav
קָטָן|katan
בְּיוֹם|bejom
בְּיוֹם|bajom
מִפְּנֵי|mipnei
לֶשֶׁם|leʃam
לֶשֶׁם|laʃem
לֶשֶׁם|leʃem
לֶשֶׁם|ˈleʃem
תֹּכֶן|ˈtoxen
הַכּוֹחַ|aˈkoˈax
הִגִּיעוּ|heˈgiˈu
בִּשְׁנוֹת|biʃnot
בְּאַרְצוֹת|beˈaratsot
בְּאַרְצוֹת|baˈaratsot
הַדֶּרֶךְ|aˈderex
חַיָּלִים|xajalim
תָּכְנִית|toxnit
הַסֶּרֶט|aˈseret
שׁוּב|ʃuv
עֵקֶב|ˈekev
עֵקֶב|akav
עֵקֶב|akev
שֶׁהֵם|ʃehem
נַעֲשֶׂה|naˈasa
נַעֲשֶׂה|naˈase
לִקְרַאת|lilkrat
בָּהֶן|bahen
הַזְּמַן|azman
מִילְיוֹן|miljon
הַמֶּלֶךְ|aˈmelex
שֶׁכֵּן|ʃaxen
שֶׁכֵּן|ʃaxan
יִהְיֶה|jihije
הַמּוֹעָצוֹת|moˈetset
מִמֶּנּוּ|miˈmenu
קָשֶׁה|kaʃe
קָשֶׁה|kaʃa
עָבָר|avar
אֲחֵרוֹת|axerot
הַשִּׁלְטוֹן|aʃilton
צָרִיךְ|tsarix
חִדֵּק|xajdak
הַיְּהוּדִית|ajehudit
נִמְצָא|nimtsa
הַר|ar
מִבְנֵה|mivne
הַחֲדָשָׁה|axadaʃa
מִכָּל|mikol
בִּפְנֵי|bifnei
בִּפְנֵי|befanai
הֲקָמַת|akamat
אֲנַחְנוּ|aˈnaxnu
קְבוּצַת|kvutsat
שֶׁבָּהֶם|ʃebahem
כּוֹלֵל|kolel
חִיצוֹנִיִּים|xitsonim
יְמֵי|jami
הַבֵּינַיִם|abeiˈnajim
בְּרַחֲבֵי|beraxvei
לְמַעְלָה|leˈmala
מְדִינוֹת|medinot
הַיְּהוּדִי|ajehudi
יַחֲסִית|jaxasit
הַתְּנוּעָה|atnuˈa
הָאֵלִים|aˈelim
מִינִים|minim
אֵלָיו|elav
הַחֶבְרָה|axavera
הַחֶבְרָה|axevra
אֶרֶץ|ˈerets
הַמִּבְנֶה|amivne
הַבַּיִת|aˈbajit
הַמְּכֻנֶּה|amexona
הַמְּכֻנֶּה|amexune
הַמְּכֻנֶּה|amexuna
הָעָם|aˈam
מִשּׁוּם|miʃum
הִצְלִיחוּ|hitsˈlixu
הַמֶּרֶד|aˈmered
לְתוֹךְ|letox
יְכוֹלִים|jexolim
סְבִיב|saviv
מוֹתוֹ|moto
לֵב|lev
עַתָּה|ata
מַעֲבָר|maˈavar
מַעֲבָר|meˈever
לְדֻגְמָה|ledugma
הַאִם|aˈim
הַאִם|aˈem
הִצְלִיחַ|hitsˈliax
מֵחָדָשׁ|mexadaʃ
מֵחָדָשׁ|mexadeʃ
לָאָרֶץ|laˈarets
הָעוֹנָה|aˈona
בְּרִית|brit
לָנוּ|ˈlanu
קִשּׁוּרִים|kiʃurim
הָאֵלֶּה|aˈele
הָאֵלֶּה|aˈela
מִזֶּה|mize
רָאשִׁי|raʃi
עָמַד|amad
תֵּל|tel
בַּצָּפוֹן|batsafon
בַּצָּפוֹן|bitsfon
לָכֵן|laxen
הַהַנְדָּסָה|aandasa
מִבְּלִי|mibli
לָרֹב|larov
לָרֹב|lerov
שֶׁבֵּין|ʃebein
יַד|jad
פְּעֻלָּה|peˈula
גּוּף|guf
יְחִידוֹת|jexida
שֶׁאֲנִי|ʃeˈani
בָּא|ba
יָדוּעַ|jaduˈa
וּלְאַחַר|veleˈaxar
וּלְאַחַר|veleˈaxer
וּלְאַחַר|velaˈaxer
תְּקוּפָה|tkufa
תְּקוּפַת|tkufat
אֲפִלּוּ|aˈfilu
לִמְצֹא|limtso
קֹדֶם|ˈkodem
קֹדֶם|kodem
לְצַד|letsad
לְצַד|latsad
הַקְּהִלָּה|akehila
הָיִיתִי|aˈjiti
בַּמֵּאָה|bemeˈa
בַּמֵּאָה|bameˈa
הַגּוּף|aguf
מִבְּחִינָה|mibxina
מַבְחִינָה|mavxina
יָצָא|jatsa
שׁוֹנֶה|ʃone
שֶׁהָיְתָה|ʃeaita
אֶבֶן|ˈeven
לָרִאשׁוֹנָה|lariʃona
לְמַעַן|leˈmaˈan
מָזוֹן|mazon
הָפַךְ|afax
קַו|kav
הַבְּחִירוֹת|abxirot
בִּנְיַן|binjan
שׁוֹשֶׁלֶת|ʃoˈʃelet
רֶקַע|ˈreka
כָּזֶה|kaze
גְּדוֹלִים|gdolim
קִבֵּל|kibel
הַסְּפִינָה|asfina
עָלָה|ala
עָלָה|ale
יְכוֹלָה|jaxola
לְבַסּוֹף|levasof
אֵזוֹר|ezor
מִשְּׁנַת|miʃnat
הַשִּׁמּוּשׁ|aʃimuʃ
הַפַּעַם|aˈpaˈam
מִיָּד|mijad
מִין|min
וְכִי|vexi
אַחֶרֶת|aˈxeret
הַשָּׁנָה|aʃana
אוֹתִי|oti
אֵיךְ|eix
הִמְשִׁיךְ|himʃix
בְּעֶזְרַת|beˈezrat
כְּתוֹצָאָה|ketotsaˈa
נֶשֶׁק|ˈneʃek
נֶשֶׁק|naʃak
אֵיזֶה|ˈeize
הָאַחֲרוֹן|aˈaxaron
הַגְּדוֹלָה|agdola
לְיַד|lejad
כְּלוֹמַר|klomar
שׁוּם|ʃum
פָּחוֹת|paxot
פָּחוֹת|paxut
בָּרֹאשׁ|beroʃ
בָּרֹאשׁ|baroʃ
דָּם|dam
חֶבְרַת|xavrat
חֶבְרַת|xevrat
פְּעָמִים|peˈamim
הַשֵּׁם|aʃem
לְהַגִּיעַ|leaˈgiˈa
הֵחֵלָּה|heˈxela
חֳמָרִים|xomarim
הֵיטֵב|hejtev
הָעֶלְיוֹן|aˈeljon
קְרַב|krav
קְרַב|karev
נוֹסָפוֹת|nosafot
הַקֵּיסָר|akejsar
הָאֲוִיר|aˈavir
מֶרְכָּז|merkaz
רוֹצֶה|rotse
מִלְחָמָה|milxama
מִכֵּיוָן|mekivun
מִכֵּיוָן|mikeivan
שַׁיִשׁ|ʃejeʃ
כֹּה|ko
מֵאֵת|meˈet
מֶטְרִים|ˈmetrim
הַיַּעַר|aˈjaˈar
הֲלֹא|alo
עָלֶיהָ|aˈlea
מַצָּב|matsav
הַכְּנֶסֶת|aˈkneset
לְעֻמַּת|leˈumat
תְּנוּעַת|tnuˈat
פְּעֻלּוֹת|peˈulot
מֵעוֹלָם|meˈolam
תָּמִיד|tamid
מֵאוֹת|meˈot
שְׁמוֹ|ˈsamu
שְׁמוֹ|ʃmo
מִצַּד|mitsad
בְּשָׁלָב|beʃalav
בְּלִי|bli
רוּחַ|ˈruˈax
חָדָשׁ|xadaʃ
הַיָּחִיד|ajaxid
בַּהֶמְשֵׁךְ|bahemʃex
בַּהֶמְשֵׁךְ|behemʃex
אִרְגּוּן|irgun
לַעֲשׂוֹת|laˈasot
חֲדָשִׁים|xadaʃim
קָצָר|katsar
בַּעֲלוּת|baˈalut
בְּנִגּוּד|benigud
פְּעִילוּת|peˈilut
דֶּגֶל|ˈdegel
מְסֻיָּמִים|mesujamim
בַּמִּשְׂחָק|bemisˈxak
בַּמִּשְׂחָק|bamisˈxak
בְּמַקְבִּיל|bemakbil
בֶּעָבָר|baˈavar
בְּסִיס|basis
לְבֵית|leveit
לְבֵית|laˈbajit
הֶחָדָשׁ|axadaʃ
לְהִשְׁתַּמֵּשׁ|lehiʃtameʃ
בְּמִסְפַּר|bemispar
הַקְּבוּצָה|akvutsa
קַיָּם|kajam
הַמָּקוֹם|amakom
וְכָךְ|vexax
וְאִלּוּ|veˈilu
הִנֵּה|hine
הִנֵּה|ˈhena
הִנֵּה|hina
מֵאֳנִיַּת|ˈmanit
הַיִּשּׁוּב|ajeʃuv
הַזְּקֵנָה|azkena
הַזְּקֵנָה|azikna
הַנְּמָלָה|anemala
וַאֲנִי|veˈani
נָכוֹן|naxon
הָעֵץ|aˈets
סַמִּים|samim
מְאֻחָר|meˈuxar
הַבַּנְק|abank
בְּאוֹתוֹ|beˈoto
לְגַבֵּי|legabei
כְּלַפֵּי|klapei
כְּלַפֵּי|klapai
בִּימֵי|bimei
הַסִּדְרָה|asidra
חָשׁוּב|xaʃuv
וּבוֹ|uvo
מֶטֶר|ˈmeter
מֶטֶר|matar
וְאָז|veˈaz
הָאֲחֵרִים|aˈaxerim
אוֹר|or
לִידֵי|lijdei
לִידֵי|lejadi
יֶשְׁנָם|jeʃnam
מִלִּים|milim
לִיצֹר|litsor
שֶׁטַח|ˈʃetax
מֻרְחָב|murxav
אֶשְׁכּוֹל|eʃkol
שֶׁאֵין|ʃeˈein
בִּגְלַל|biglal
בָּרוּר|barur
גָּבוֹהַּ|gaˈvoa
הַדִּין|adin
הַכְּפָר|akfar
הָעֵצִים|aˈetsim
הֵבִיא|hevi
הַשּׁוֹנִים|aʃonim
הָעִבְרִית|aˈivrit
הַמָּתֵמָטִיקָה|amateˈmatika
מַמָּשׁ|mamaʃ
עֵת|et
חֲדָשָׁה|xadaʃa
הָרִמּוֹן|arimon
מֵת|met
וְהִיא|vehi
בַּת|bat
קֶשֶׁר|ˈkeʃer
מְדִינַת|medinat
אוֹתָן|otan
עַצְמָם|atsmam
נֶחְשָׁב|nexʃav
הַתְּקוּפָה|atkufa
לְעוֹלָם|leˈolam
לְעוֹלָם|laˈolam
הָעֲבוֹדָה|aˈavoda
בְּמִדָּה|bemida
שׁוּלַיִם|ʃuˈlajim
זְכוּיוֹת|zxujot
קְרָא|kara
הַגְּדוֹלִים|agdolim
הַלְּחִימָה|hilxima
שְׁאַל|ʃaˈal
הַזֹּאת|azot
מָקוֹר|makor
חַבְרֵי|xaveri
חַבְרֵי|xaverai
חֲבֵרִי|xavrei
דִּיוִיזְיוֹת|diˈvizjot
מִינִי|minei
בְּתֵל|betel
בְּתֵל|batel
שִׁמֵּשׁ|ʃimeʃ
וְיוֹתֵר|vejoter
הָבִיאוּ|heˈviˈu
בִּמְקוֹמוֹת|bimkomot
בִּמְקוֹמוֹת|bamekomot
הִנְנִי|hiˈneni
מְפַקֵּד|mefaked
מְפַקֵּד|mifkad
שֶׁלְּאַחַר|ʃeleˈaxar
מֵבִין|mibein
מֵבִין|mevin
מִמֶּנָּה|miˈmena
עֵצִים|etsim
שִׁנּוּי|ʃiˈnui
הַדֶּגֶל|aˈdegel
הַדֵּמוֹקְרַטְיָה|ademoˈkratja
בִּכְלָל|bixlal
עֲלֵיהֶם|aleihem
מִכָּךְ|mikax
כַּמּוּת|kamut
הִיסְטוֹרְיָה|hisˈtoria
אֵלִי|elai
אֵלִי|eli
קַיָּמִים|kajamim
הַמְּדִינוֹת|amedinot
מֶרְכָּזִי|merkazi
בִּרְחוֹב|barexov
בִּרְחוֹב|berexov
הָאַחֲרוֹנוֹת|aˈaxronot
וּבְכָךְ|uvxax
אָמְנָם|omnam
כֻּלָּם|kulam
קְבוּצוֹת|kvutsot
לְהָבִיא|leavi
הַשַּׂחְקָן|asaxkan
חַיָּיו|xajav
הַיֶּתֶר|aˈjeter
אֵנֶרְגִּיָּה|eˈnergija
הָעֲלִיָּה|aˈalija
הַבּוּרִים|aburim
תְּחִלַּת|txilat
וְהֵם|vehem
הָאֻכְלוּסִיָּה|aˈuxlusija
בַּיַּעַר|beˈjaˈar
בַּיַּעַר|baˈjaˈar
כֻּלּוֹ|kulo
יֶדַע|jada
יֶדַע|ˈjeda
יָצְאוּ|jatsˈu
כִּוּוּן|kivun
הֶעָרוֹת|heˈarot
לִמְנֹעַ|limˈnoˈa
מַס|mas
לִקְרִיאָה|likriˈa
טָעַן|taˈan
חֳדָשִׁים|xodaʃim
בָּזֶה|baze
בָּזֶה|beze
זֶהוּ|ˈzehu
הַשְּׁאָר|aʃˈar
הַשְּׁאָר|aʃˈer
גְּבוֹהָה|gvoa
בִּתְחוּם|bitxum
בִּתְחוּם|batxum
מְסֻיָּם|mesujam
הַמִּין|amin
יוֹדֵעַ|joˈdeˈa
הַקַּרְקַע|aˈkarka
הָעִירִיָּה|aˈirija
טִפּוּל|tipul
נַחַל|ˈnaxal
נַחַל|naxal
אַתֶּם|atem
אַתֶּם|itam
שָׁלוֹם|ʃalom
גּוֹרְמִים|gormim
הַיְּחִידָה|ajexida
מוֹפִיעַ|moˈfiˈa
הַשֶּׁטַח|aˈʃetax
חֻקִּי|xuki
הַגְּדוּד|agdud
וְכָל|vekol
לְקַבֵּל|lekabel
בָּשָׂר|basar
קַיֶּמֶת|kaˈjemet
פִּרְסֵם|pirsem
הָעַכְבָּרָה|aˈaxbara
אֵינֶנִּי|eiˈneni
בְּדִיּוּק|bedijuk
שַׂר|sar
שַׂר|ʃar
שְׁאָר|ʃˈar
יְלָדִים|jeladim
יָצְאָה|jatsa
יֶתֶר|ˈjeter
הָאֵל|aˈel
בִּסְפּוֹרְט|besport
בִּסְפּוֹרְט|basport
עֲבוֹדָה|avoda
לַחֲלוּטִין|laxalutin
הַפָּרוּשׂ|aperuʃ
קְטַנִּים|ktanim
נְקֻדּוֹת|nekudot
עַצְמָהּ|atsma
עַצְמָהּ|otsma
חֹסֶר|ˈxoser
בְּהֶתְאֵם|behetˈem
תַּהֲלִיךְ|taalix
עַצְמִי|atsmi
בְּמַצָּב|bematsav
בְּמַצָּב|bamatsav
לִבְנוֹת|livnot
לִבְנוֹת|labanot
לִבְנוֹת|lebanot
כַּנִּרְאֶה|kanirˈe
הַטֶּבַע|aˈteva
הָעוֹלָמִית|aˈolamit
אָכֵן|axen
בִּזְכוּת|bizxut
קְבוּצָה|kvutsa
דִּין|din
מוֹסְדוֹת|mosadot
הַמִּדְבָּר|amidbar
הַשִּׁדְרָה|asdera
בַּנְק|bank
לָזֶה|laze
בַּפַּעַם|beˈfaˈam
לָצֵאת|latset
סָמוּךְ|samux
חַי|xai
בָּנוּ|bno
הַמַּצָּב|amatsav
דּוֹלָר|ˈdolar
מֶמְשֶׁלֶת|memʃelet
עוֹלָם|olam
סְפּוֹרְט|sport
הַלִּיבֵּרָלִית|aliberalit
הַחֶלְבּוֹן|axelbon
שָׁעוֹת|ʃaˈot
מִתַּחַת|miˈtaxat
בַּעֲלַת|baˈalat
חֲזָרָה|xazra
חֲזָרָה|xazara
לָאוֹר|leˈor
עָבְרָה|avra
הֵבִיאָה|heˈviˈa
הַגֵּנֵרָל|ageneral
הִגִּיעָה|heˈgiˈa
בְּחֹדֶשׁ|beˈxodeʃ
בְּחֹדֶשׁ|baˈxodeʃ
צֹרֶךְ|ˈtsorex
מִשְׂחָק|misˈxak
תַּפְקִיד|tafkid
אַלּוּף|aluf
בְּדוֹמֶה|bedome
תָּאֵי|taˈei
תָּאֵי|taˈi
דִּי|daj
בְּעֵינַי|beˈeinei
בְּעֵינַי|beˈeinai
קְטַנָּה|ktana
בְּמֶרְכַּז|bamerkaz
בְּמֶרְכַּז|bemerkaz
מְהַוֶּה|meave
יַחֲסֵי|jaxasi
יַחֲסֵי|jaxasei
הַפּוֹעֵל|apoˈel
הַפּוֹעֵל|aˈpoˈal
אֲחָדִים|axadim
מְיֻחָד|mejuxad
רְאֵה|raˈa
הַנִּרְאֶה|anirˈe
לָבָן|lavan
לָבָן|laben
תְּנוּעָה|tnuˈa
לְאֶחָד|leˈexad
הָעֻבְדָּה|aˈuvda
דְּרָכִים|draxim
לָעִיר|leˈir
לָעִיר|laˈir
הַפְּעֻלָּה|apeˈula
הָפְכָה|afxa
בַּמִּלְחָמָה|bemilxama
בַּמִּלְחָמָה|bamilxama
הֶעְתִּיקָה|aˈatika
דּוּ|du
גְּדוּד|gdud
חַמְצָן|xamtsan
נָא|na
פְּנִים|panim
פְּנִים|pnim
מָלֵא|male
לָדַעַת|laˈdaˈat
לָדַעַת|leˈdaˈat
עָמְדוּ|amdu
אָדֹם|adom
בְּסוֹפוֹ|besofo
הַחֹק|axok
הָרָאשִׁי|araʃi
הַשְׁפָּעָה|aʃpaˈa
הַקּוֹלְנוֹעַ|akolˈnoa
גַּבִּי|gabi
לְפָחוֹת|lefaxot
מִדְבָּר|midbar
מְדִינָה|medina
כֵּיצַד|kejtsad
מוֹת|mot
הַבֵּינְלְאֻמִּי|abejnleumi
הַנֶּשֶׁק|aˈneʃek
בְּעִבְרִית|beˈivrit
הוֹד|hod
כָּעֵת|kaˈet
כַּמּוּבָן|kamuvan
מַשֶּׁהוּ|ˈmaʃehu
נֶהֶרְגוּ|nehergu
הַצְּדָדִים|atsdadim
דָּרוֹם|darom
בַּדָּרוֹם|badarom
שְׁמוֹת|ʃemot
שְׁמוֹת|ʃmot
אֹכֶל|ˈoxel
אֹכֶל|oxel
אֹכֶל|oxal
אֹכֶל|uxal
בִּשְׁבִיל|biʃvil
בִּשְׁבִיל|baʃvil
מִשָּׁם|miʃam
מְדֻבָּר|medubar
חָזַר|xozer
מְקוֹרוֹת|mekorot
מֵהֶן|ˈmahen
מִלְּבַד|milvad
נָתָן|natan
עִנְיַן|injan
חֲשִׁיבוּת|xaʃivut
צוּרַת|tsurat
הַצָּפוֹן|atsafon
הָאֵזוֹר|aˈezor
הָעִקָּרִיִּים|aˈikarijm
הָעַצְמָאוּת|aˈatsmaˈut
נִבְחַר|nivxar
בְּרֹב|berov
וְהָיָה|veaja
הַלָּלוּ|aˈlalu
הֶחְלִיט|hexlit
מִבְנִים|mivnim
עִמּוֹ|amo
עַמּוֹ|imo
לִשְׁמֹר|liʃmor
מְאַשֵּׁר|meˈaʃer
נָשִׁים|naʃim
בְּטִפּוּל|betipul
בְּטִפּוּל|batipul
סֵנְט|sanat
הַמִּמְשָׁל|amimʃal
הַמַּסָּע|amasa
בִּקֹּרֶת|biˈkoret
הַנְדָּסָה|andasa
